"id","description","last_updated"
"2707532","Walnuts, honey roasted","2024-10-31"
"2707533","Almond butter","2024-10-31"
"2707534","Almond butter, lower sodium","2024-10-31"
"2707535","Almond paste","2024-10-31"
"2707536","Cashew butter","2024-10-31"
"2707537","Peanut butter","2024-10-31"
"2707538","Peanut butter, lower sodium","2024-10-31"
"2707539","Peanut butter, lower sodium and lower sugar","2024-10-31"
"2707540","Peanut butter, lower sugar","2024-10-31"
"2707541","Peanut butter, reduced fat","2024-10-31"
"2707542","Peanut butter, vitamin and mineral fortified","2024-10-31"
"2707543","Peanut butter and jelly","2024-10-31"
"2707544","Peanut butter and chocolate spread","2024-10-31"
"2707545","Soy nut butter","2024-10-31"
"2707546","Peanut sauce","2024-10-31"
"2707547","Soup, peanut","2024-10-31"
"2707548","Gravy, vegetarian","2024-10-31"
"2707549","Peanut butter sandwich, NFS","2024-10-31"
"2707550","Peanut butter sandwich, with regular peanut butter, on white bread","2024-10-31"
"2707551","Peanut butter sandwich, with regular peanut butter, on wheat bread","2024-10-31"
"2707552","Peanut butter sandwich, with reduced fat peanut butter, on white bread","2024-10-31"
"2707553","Peanut butter sandwich, with reduced fat peanut butter, on wheat bread","2024-10-31"
"2707554","Peanut butter and jelly sandwich, NFS","2024-10-31"
"2707555","Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on white bread","2024-10-31"
"2707556","Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on wheat bread","2024-10-31"
"2707557","Peanut butter and jelly sandwich, with reduced fat peanut butter, on white bread","2024-10-31"
"2707558","Peanut butter and jelly sandwich, with reduced fat peanut butter, on wheat bread","2024-10-31"
"2707559","Peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on white bread","2024-10-31"
"2707560","Peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on wheat bread","2024-10-31"
"2707561","Peanut butter and jelly sandwich, frozen commercial product without crusts","2024-10-31"
"2707562","Almond butter sandwich, on white bread","2024-10-31"
"2707563","Almond butter sandwich, on wheat bread","2024-10-31"
"2707564","Almond butter and jelly sandwich, on white bread","2024-10-31"
"2707565","Almond butter and jelly sandwich, on wheat bread","2024-10-31"
"2707566","Nutella sandwich on white bread","2024-10-31"
"2707567","Nutella sandwich on wheat bread","2024-10-31"
"2707568","Coconut milk, used in cooking","2024-10-31"
"2707569","Yogurt, coconut milk","2024-10-31"
"2707570","Yogurt, almond milk","2024-10-31"
"2707571","Coconut cream, canned, sweetened","2024-10-31"
"2707572","Coconut water, unsweetened","2024-10-31"
"2707573","Coconut water, sweetened","2024-10-31"
"2707574","Trail mix, NFS","2024-10-31"
"2707575","Trail mix with nuts","2024-10-31"
"2707576","Trail mix with nuts and fruit","2024-10-31"
"2707577","Trail mix with chocolate","2024-10-31"
"2707578","Trail mix with pretzels, cereal, or granola","2024-10-31"
"2707579","Pumpkin seeds, NFS","2024-10-31"
"2707580","Pumpkin seeds, salted","2024-10-31"
"2707581","Pumpkin seeds, unsalted","2024-10-31"
"2707582","Sunflower seeds, plain, unsalted","2024-10-31"
"2707583","Sunflower seeds, plain, salted","2024-10-31"
"2707584","Sunflower seeds, flavored","2024-10-31"
"2707585","Sunflower seeds, NFS","2024-10-31"
"2707586","Sesame seeds","2024-10-31"
"2707587","Tahini","2024-10-31"
"2707588","Flax seeds","2024-10-31"
"2707589","Mixed seeds","2024-10-31"
"2707590","Chia seeds","2024-10-31"
"2707591","Bread, NS as to major flour","2024-10-31"
"2707592","Bread, NS as to major flour, toasted","2024-10-31"
"2707593","Bread, made from home recipe or purchased at a bakery, NS as to major flour","2024-10-31"
"2707594","Bread, made from home recipe or purchased at a bakery, toasted, NS as to major flour","2024-10-31"
"2707595","Roll, NS as to major flour","2024-10-31"
"2707596","Roll, hard, NS as to major flour","2024-10-31"
"2707597","Roll, bran, NS as to type of bran","2024-10-31"
"2707598","Bread, white","2024-10-31"
"2707599","Bread, white, toasted","2024-10-31"
"2707600","Bread, white, made from home recipe or purchased at a bakery","2024-10-31"
"2707601","Bread, white, made from home recipe or purchased at a bakery, toasted","2024-10-31"
"2707602","Bread, white with whole wheat swirl","2024-10-31"
"2707603","Bread, white with whole wheat swirl, toasted","2024-10-31"
"2707604","Bread, Cuban","2024-10-31"
"2707605","Bread, Cuban, toasted","2024-10-31"
"2707606","Bread, native, water, Puerto Rican style","2024-10-31"
"2707607","Bread, native, water, toasted, Puerto Rican style","2024-10-31"
"2707608","Bread, lard, Puerto Rican style","2024-10-31"
"2707609","Bread, lard, toasted, Puerto Rican style","2024-10-31"
"2707610","Bread, French or Vienna","2024-10-31"
"2707611","Bread, French or Vienna, toasted","2024-10-31"
"2707612","Focaccia, Italian, plain","2024-10-31"
"2707613","Bread, naan","2024-10-31"
"2707614","Bread, Italian, Grecian, Armenian","2024-10-31"
"2707615","Bread, Italian, Grecian, Armenian, toasted","2024-10-31"
"2707616","Bread, pita","2024-10-31"
"2707617","Bread, pita with fruit","2024-10-31"
"2707618","Bread, cheese","2024-10-31"
"2707619","Bread, cheese, toasted","2024-10-31"
"2707620","Bread, cinnamon","2024-10-31"
"2707621","Bread, cinnamon, toasted","2024-10-31"
"2707622","Bread, cornmeal and molasses","2024-10-31"
"2707623","Bread, cornmeal and molasses, toasted","2024-10-31"
"2707624","Bread, egg, Challah","2024-10-31"
"2707625","Bread, egg, Challah, toasted","2024-10-31"
"2707626","Garlic bread, NFS","2024-10-31"
"2707627","Garlic bread, from fast food / restaurant","2024-10-31"
"2707628","Garlic bread, from frozen","2024-10-31"
"2707629","Garlic bread, with parmesan cheese, from fast food / restaurant","2024-10-31"
"2707630","Garlic bread, with parmesan cheese, from frozen","2024-10-31"
"2707631","Garlic bread, with melted cheese, from fast food / restaurant","2024-10-31"
"2707632","Garlic bread, with melted cheese, from frozen","2024-10-31"
"2707633","Bread, onion","2024-10-31"
"2707634","Bread, onion, toasted","2024-10-31"
"2707635","Bread, reduced calorie and/or high fiber, white or NFS","2024-10-31"
"2707636","Bread, reduced calorie and/or high fiber, white or NFS, toasted","2024-10-31"
"2707637","Bread, reduced calorie and/or high fiber, white or NFS, with fruit and/or nuts","2024-10-31"
"2707638","Bread, reduced calorie and/or high fiber, white or NFS, with fruit and/or nuts, toasted","2024-10-31"
"2707639","Bread, white, special formula, added fiber","2024-10-31"
"2707640","Bread, white, special formula, added fiber, toasted","2024-10-31"
"2707641","Bread, high protein, toasted","2024-10-31"
"2707642","Bread, potato","2024-10-31"
"2707643","Bread, potato, toasted","2024-10-31"
"2707644","Bread, raisin","2024-10-31"
"2707645","Bread, raisin, toasted","2024-10-31"
"2707646","Bread, sour dough","2024-10-31"
"2707647","Bread, sour dough, toasted","2024-10-31"
"2707648","Bread, sweet potato","2024-10-31"
"2707649","Bread, sweet potato, toasted","2024-10-31"
"2707650","Bread, vegetable","2024-10-31"
"2707651","Bread, vegetable, toasted","2024-10-31"
"2707652","Bruschetta","2024-10-31"
"2707653","Bread, dough, fried","2024-10-31"
"2707654","Roll, white, soft","2024-10-31"
"2707655","Roll, white, hard","2024-10-31"
"2707656","Roll, white, hot dog bun","2024-10-31"
"2707657","Roll, white, hamburger bun","2024-10-31"
"2707658","Roll, diet","2024-10-31"
"2707659","Roll, egg bread","2024-10-31"
"2707660","Roll, cheese","2024-10-31"
"2707661","Roll, French or Vienna","2024-10-31"
"2707662","Roll, garlic","2024-10-31"
"2707663","Roll, white, hoagie, submarine","2024-10-31"
"2707664","Roll, Mexican, bolillo","2024-10-31"
"2707665","Roll, sour dough","2024-10-31"
"2707666","Roll, sweet, no frosting","2024-10-31"
"2707667","Roll, sweet, cinnamon bun, no frosting","2024-10-31"
"2707668","Roll, sweet, cinnamon bun, frosted","2024-10-31"
"2707669","Pan dulce, NFS","2024-10-31"
"2707670","Pan Dulce, with fruit, no frosting","2024-10-31"
"2707671","Roll, sweet, with fruit, frosted","2024-10-31"
"2707672","Roll, sweet, with fruit, frosted, diet","2024-10-31"
"2707673","Roll, sweet, frosted","2024-10-31"
"2707674","Pan Dulce, no topping","2024-10-31"
"2707675","Pan Dulce, with sugar topping","2024-10-31"
"2707676","Pan Dulce, with raisins and icing","2024-10-31"
"2707677","Coffee cake, yeast type","2024-10-31"
"2707678","Croissant","2024-10-31"
"2707679","Croissant, cheese","2024-10-31"
"2707680","Croissant, chocolate","2024-10-31"
"2707681","Croissant, fruit","2024-10-31"
"2707682","Brioche","2024-10-31"
"2707683","Bread, Spanish coffee","2024-10-31"
"2707684","Bagel","2024-10-31"
"2707685","Bagel, with raisins","2024-10-31"
"2707686","Bagel, with fruit other than raisins","2024-10-31"
"2707687","Bread stuffing","2024-10-31"
"2707688","Bread stuffing made with egg","2024-10-31"
"2707689","Breadsticks, NFS","2024-10-31"
"2707690","Breadsticks, hard, NFS","2024-10-31"
"2707691","Breadsticks, hard, reduced sodium","2024-10-31"
"2707692","Breadsticks, soft, NFS","2024-10-31"
"2707693","Breadsticks, soft, fast food / restaurant","2024-10-31"
"2707694","Breadsticks, soft, frozen","2024-10-31"
"2707695","Breadsticks, soft, with parmesan cheese, fast food / restaurant","2024-10-31"
"2707696","Breadsticks, soft, stuffed or topped with melted cheese","2024-10-31"
"2707697","Croutons","2024-10-31"
"2707698","Muffin, English","2024-10-31"
"2707699","Muffin, English, with raisins","2024-10-31"
"2707700","Muffin, English, cheese","2024-10-31"
"2707701","Muffin, English, with fruit other than raisins","2024-10-31"
"2707702","Melba toast","2024-10-31"
"2707703","Anisette toast","2024-10-31"
"2707704","Pannetone","2024-10-31"
"2707705","Zwieback toast","2024-10-31"
"2707706","Bread, whole grain white","2024-10-31"
"2707707","Bread, whole grain white, toasted","2024-10-31"
"2707708","Bagel, whole grain white","2024-10-31"
"2707709","Bread, whole wheat","2024-10-31"
"2707710","Bread, whole wheat, toasted","2024-10-31"
"2707711","Bread, whole wheat, made from home recipe or purchased at bakery","2024-10-31"
"2707712","Bread, whole wheat, made from home recipe or purchased at bakery, toasted","2024-10-31"
"2707713","Bread, chappatti or roti","2024-10-31"
"2707714","Bread, puri","2024-10-31"
"2707715","Bread, paratha","2024-10-31"
"2707716","Bread, whole wheat, with raisins","2024-10-31"
"2707717","Bread, whole wheat, with raisins, toasted","2024-10-31"
"2707718","Bread, sprouted wheat","2024-10-31"
"2707719","Bread, sprouted wheat, toasted","2024-10-31"
"2707720","Bread, wheat or cracked wheat","2024-10-31"
"2707721","Bread, wheat or cracked wheat, toasted","2024-10-31"
"2707722","Bread, wheat or cracked wheat, made from home recipe or purchased at bakery","2024-10-31"
"2707723","Bread, wheat or cracked wheat, made from home recipe or purchased at bakery, toasted","2024-10-31"
"2707724","Bread, wheat or cracked wheat, with raisins","2024-10-31"
"2707725","Bread, wheat or cracked wheat, with raisins, toasted","2024-10-31"
"2707726","Bread, wheat or cracked wheat, reduced calorie and/or high fiber","2024-10-31"
"2707727","Bread, wheat or cracked wheat, reduced calorie and/or high fiber, toasted","2024-10-31"
"2707728","Bread, French or Vienna, whole wheat","2024-10-31"
"2707729","Bread, French or Vienna, whole wheat, toasted","2024-10-31"
"2707730","Bread, pita, whole wheat","2024-10-31"
"2707731","Bread, pita, wheat or cracked wheat","2024-10-31"
"2707732","Bagel, wheat","2024-10-31"
"2707733","Bagel, whole wheat","2024-10-31"
"2707734","Bagel, wheat, with raisins","2024-10-31"
"2707735","Bagel, whole wheat, with raisins","2024-10-31"
"2707736","Bagel, wheat, with fruit and nuts","2024-10-31"
"2707737","Bagel, wheat bran","2024-10-31"
"2707738","Muffin, English, wheat bran","2024-10-31"
"2707739","Muffin, English, wheat bran, with raisins","2024-10-31"
"2707740","Muffin, English, wheat or cracked wheat","2024-10-31"
"2707741","Muffin, English, whole wheat","2024-10-31"
"2707742","Muffin, English, wheat or cracked wheat, with raisins","2024-10-31"
"2707743","Muffin, English, whole wheat, with raisins","2024-10-31"
"2707744","Muffin, English, whole grain white","2024-10-31"
"2707745","Breadsticks, hard, whole wheat","2024-10-31"
"2707746","Roll, wheat or cracked wheat","2024-10-31"
"2707747","Roll, wheat or cracked wheat, hot dog bun","2024-10-31"
"2707748","Roll, wheat or cracked wheat, hamburger bun","2024-10-31"
"2707749","Roll, whole wheat","2024-10-31"
"2707750","Roll, whole wheat, hot dog bun","2024-10-31"
"2707751","Roll, whole wheat, hamburger bun","2024-10-31"
"2707752","Roll, whole grain white","2024-10-31"
"2707753","Roll, whole grain white, hot dog bun","2024-10-31"
"2707754","Roll, whole grain white, hamburger bun","2024-10-31"
"2707755","Bread, rye","2024-10-31"
"2707756","Bread, rye, toasted","2024-10-31"
"2707757","Bread, marble rye and pumpernickel","2024-10-31"
"2707758","Bread, marble rye and pumpernickel, toasted","2024-10-31"
"2707759","Muffin, English, rye","2024-10-31"
"2707760","Bread, pumpernickel","2024-10-31"
"2707761","Bread, pumpernickel, toasted","2024-10-31"
"2707762","Bagel, pumpernickel","2024-10-31"
"2707763","Muffin, English, pumpernickel","2024-10-31"
"2707764","Bread, black","2024-10-31"
"2707765","Bread, black, toasted","2024-10-31"
"2707766","Roll, rye","2024-10-31"
"2707767","Roll, pumpernickel","2024-10-31"
"2707768","Bread, oatmeal","2024-10-31"
"2707769","Bread, oatmeal, toasted","2024-10-31"
"2707770","Bread, oat bran","2024-10-31"
"2707771","Bread, oat bran, toasted","2024-10-31"
"2707772","Bagel, oat bran","2024-10-31"
"2707773","Roll, oatmeal","2024-10-31"
"2707774","Muffin, English, oat bran","2024-10-31"
"2707775","Muffin, English, oat bran, with raisins","2024-10-31"
"2707776","Bread, multigrain, toasted","2024-10-31"
"2707777","Bread, multigrain","2024-10-31"
"2707778","Bread, multigrain, with raisins","2024-10-31"
"2707779","Bread, multigrain, with raisins, toasted","2024-10-31"
"2707780","Bread, multigrain, reduced calorie and/or high fiber","2024-10-31"
"2707781","Bread, multigrain, reduced calorie and/or high fiber, toasted","2024-10-31"
"2707782","Roll, multigrain","2024-10-31"
"2707783","Roll, multigrain, hot dog bun","2024-10-31"
"2707784","Roll, multigrain, hamburger bun","2024-10-31"
"2707785","Bagel, multigrain","2024-10-31"
"2707786","Bagel, multigrain, with raisins","2024-10-31"
"2707787","Muffin, English, multigrain","2024-10-31"
"2707788","Bread, barley","2024-10-31"
"2707789","Bread, barley, toasted","2024-10-31"
"2707790","Bread, soy","2024-10-31"
"2707791","Bread, soy, toasted","2024-10-31"
"2707792","Bread, sunflower meal","2024-10-31"
"2707793","Bread, sunflower meal, toasted","2024-10-31"
"2707794","Bread, rice","2024-10-31"
"2707795","Bread, rice, toasted","2024-10-31"
"2707796","Injera, Ethiopian bread","2024-10-31"
"2707797","Bread, gluten free","2024-10-31"
"2707798","Bread, gluten free, toasted","2024-10-31"
"2707799","Breadsticks, hard, gluten free","2024-10-31"
"2707800","Roll, gluten free","2024-10-31"
"2707801","Biscuit, NFS","2024-10-31"
"2707802","Biscuit, from refrigerated dough","2024-10-31"
"2707803","Biscuit, from fast food / restaurant","2024-10-31"
"2707804","Biscuit, home recipe","2024-10-31"
"2707805","Biscuit, wheat","2024-10-31"
"2707806","Biscuit, cheese","2024-10-31"
"2707807","Biscuit with fruit","2024-10-31"
"2707808","Scone","2024-10-31"
"2707809","Scone, with fruit","2024-10-31"
"2707810","Cornbread, prepared from mix","2024-10-31"
"2707811","Cornbread, made from home recipe","2024-10-31"
"2707812","Cornbread stuffing","2024-10-31"
"2707813","Cornbread muffin, stick, round","2024-10-31"
"2707814","Cornbread muffin, stick, round, made from home recipe","2024-10-31"
"2707815","Corn flour patty or tart, fried","2024-10-31"
"2707816","Corn pone, baked","2024-10-31"
"2707817","Corn pone, fried","2024-10-31"
"2707818","Gordita/sope shell, plain, no filling","2024-10-31"
"2707819","Hush puppy","2024-10-31"
"2707820","Johnnycake","2024-10-31"
"2707821","Spoonbread","2024-10-31"
"2707822","Tortilla, NFS","2024-10-31"
"2707823","Tortilla, corn","2024-10-31"
"2707824","Tortilla, flour","2024-10-31"
"2707825","Tortilla, whole wheat","2024-10-31"
"2707826","Taco shell, corn","2024-10-31"
"2707827","Taco shell, flour","2024-10-31"
"2707828","Arepa Dominicana","2024-10-31"
"2707829","Muffin, NFS","2024-10-31"
"2707830","Muffin, fruit","2024-10-31"
"2707831","Muffin, fruit, low fat","2024-10-31"
"2707832","Muffin, chocolate chip","2024-10-31"
"2707833","Muffin, chocolate","2024-10-31"
"2707834","Muffin, whole wheat","2024-10-31"
"2707835","Muffin, wheat","2024-10-31"
"2707836","Muffin, whole grain","2024-10-31"
"2707837","Muffin, wheat bran","2024-10-31"
"2707838","Muffin, bran with fruit, lowfat","2024-10-31"
"2707839","Muffin, oatmeal","2024-10-31"
"2707840","Muffin, oat bran","2024-10-31"
"2707841","Muffin, plain","2024-10-31"
"2707842","Muffin, cheese","2024-10-31"
"2707843","Muffin, pumpkin","2024-10-31"
"2707844","Muffin, zucchini","2024-10-31"
"2707845","Muffin, carrot","2024-10-31"
"2707846","Popover","2024-10-31"
"2707847","Bread, Boston Brown","2024-10-31"
"2707848","Bread, nut","2024-10-31"
"2707849","Bread, pumpkin","2024-10-31"
"2707850","Bread, fruit","2024-10-31"
"2707851","Bread, zucchini","2024-10-31"
"2707852","Bread, Irish soda","2024-10-31"
"2707853","Cake or cupcake, NFS","2024-10-31"
"2707854","Cake, angel food","2024-10-31"
"2707855","Cake or cupcake, apple","2024-10-31"
"2707856","Cake or cupcake, banana","2024-10-31"
"2707857","Cake or cupcake, Black Forest","2024-10-31"
"2707858","Cake, Boston cream pie","2024-10-31"
"2707859","Cake or cupcake, carrot","2024-10-31"
"2707860","Cake or cupcake, coconut","2024-10-31"
"2707861","Cheesecake, plain","2024-10-31"
"2707862","Cheesecake, fruit","2024-10-31"
"2707863","Cheesecake, chocolate","2024-10-31"
"2707864","Cake or cupcake, chocolate with white icing, bakery","2024-10-31"
"2707865","Cake or cupcake, chocolate with white icing, from mix","2024-10-31"
"2707866","Cake or cupcake, chocolate with chocolate icing, bakery","2024-10-31"
"2707867","Cake or cupcake, chocolate with chocolate icing, from mix","2024-10-31"
"2707868","Cake or cupcake, chocolate, no icing","2024-10-31"
"2707869","Cake or cupcake, German chocolate","2024-10-31"
"2707870","Cake or cupcake, gluten free","2024-10-31"
"2707871","Cake, chocolate, flourless","2024-10-31"
"2707872","Cake, cream","2024-10-31"
"2707873","Snack cake, chocolate","2024-10-31"
"2707874","Snack cake, white","2024-10-31"
"2707875","Cake, fruit cake","2024-10-31"
"2707876","Cake or cupcake, gingerbread","2024-10-31"
"2707877","Ice cream cake","2024-10-31"
"2707878","Cake, jelly roll","2024-10-31"
"2707879","Cake or cupcake, lemon","2024-10-31"
"2707880","Cake or cupcake, marble","2024-10-31"
"2707881","Cake or cupcake, peanut butter","2024-10-31"
"2707882","Cake, pound","2024-10-31"
"2707883","Cake or cupcake, pumpkin","2024-10-31"
"2707884","Cake or cupcake, red velvet","2024-10-31"
"2707885","Cake or cupcake, spice","2024-10-31"
"2707886","Cake, sponge","2024-10-31"
"2707887","Cake or cupcake, strawberry","2024-10-31"
"2707888","Cake, torte","2024-10-31"
"2707889","Cake, tres leche","2024-10-31"
"2707890","Cake, pineapple, upside down","2024-10-31"
"2707891","Cake or cupcake, white with white icing, bakery","2024-10-31"
"2707892","Cake or cupcake, white with white icing, from mix","2024-10-31"
"2707893","Cake or cupcake, white with chocolate icing, bakery","2024-10-31"
"2707894","Cake or cupcake, white with chocolate icing, from mix","2024-10-31"
"2707895","Cake or cupcake, white, no icing","2024-10-31"
"2707896","Cake, strawberry shortcake","2024-10-31"
"2707897","Cake or cupcake, zucchini","2024-10-31"
"2707898","Cookie, batter or dough, raw","2024-10-31"
"2707899","Cookie, NFS","2024-10-31"
"2707900","Cookie, almond","2024-10-31"
"2707901","Cookie, applesauce","2024-10-31"
"2707902","Cookie, biscotti","2024-10-31"
"2707903","Cookie, brownie, NS as to icing","2024-10-31"
"2707904","Cookie, brownie, without icing","2024-10-31"
"2707905","Cookie, brownie, with icing or filling","2024-10-31"
"2707906","Cookie, brownie, reduced fat, NS as to icing","2024-10-31"
"2707907","Cookie, butterscotch, brownie","2024-10-31"
"2707908","Cookie, bar, with chocolate","2024-10-31"
"2707909","Cookie, chocolate chip","2024-10-31"
"2707910","Cookie, chocolate chip, made from home recipe or purchased at a bakery","2024-10-31"
"2707911","Cookie, chocolate chip, reduced fat","2024-10-31"
"2707912","Cookie, chocolate chip sandwich","2024-10-31"
"2707913","Cookie, chocolate, made with rice cereal","2024-10-31"
"2707914","Cookie, chocolate, made with oatmeal and coconut, no bake","2024-10-31"
"2707915","Cookie, chocolate or fudge","2024-10-31"
"2707916","Cookie, marshmallow, chocolate-covered","2024-10-31"
"2707917","Cookie, marshmallow pie, chocolate covered","2024-10-31"
"2707918","Cookie, chocolate, with icing or coating","2024-10-31"
"2707919","Cookie, sugar wafer, chocolate-covered","2024-10-31"
"2707920","Cookie, chocolate sandwich","2024-10-31"
"2707921","Cookie, chocolate sandwich, reduced fat","2024-10-31"
"2707922","Cookie, chocolate, sandwich, with extra filling","2024-10-31"
"2707923","Cookie, chocolate and vanilla sandwich","2024-10-31"
"2707924","Cookie, chocolate wafer","2024-10-31"
"2707925","Cookie, graham cracker with chocolate and marshmallow","2024-10-31"
"2707926","Cookie bar, with chocolate, nuts, and graham crackers","2024-10-31"
"2707927","Cookie, coconut","2024-10-31"
"2707928","Cookie, fruit-filled bar","2024-10-31"
"2707929","Cookie, fig bar","2024-10-31"
"2707930","Cookie, fortune","2024-10-31"
"2707931","Cookie, cone shell, ice cream type, wafer or cake","2024-10-31"
"2707932","Cookie, gingersnaps","2024-10-31"
"2707933","Cookie, granola","2024-10-31"
"2707934","Cookie, ladyfinger","2024-10-31"
"2707935","Cookie, lemon bar","2024-10-31"
"2707936","Cookie, macaroon","2024-10-31"
"2707937","Cookie, marshmallow, with coconut","2024-10-31"
"2707938","Cookie, marshmallow, with rice cereal, no bake","2024-10-31"
"2707939","Cookie, marshmallow, with rice cereal and chocolate chips","2024-10-31"
"2707940","Cookie, marshmallow and peanut butter, with oat cereal, no bake","2024-10-31"
"2707941","Cookie, meringue","2024-10-31"
"2707942","Cookie, molasses","2024-10-31"
"2707943","Cookie, Lebkuchen","2024-10-31"
"2707944","Cookie, multigrain, high fiber","2024-10-31"
"2707945","Cookie, oatmeal","2024-10-31"
"2707946","Cookie, oatmeal, with raisins","2024-10-31"
"2707947","Cookie, oatmeal, reduced fat, NS as to raisins","2024-10-31"
"2707948","Cookie, oatmeal sandwich, with creme filling","2024-10-31"
"2707949","Cookie, oatmeal, with chocolate chips","2024-10-31"
"2707950","Cookie, oatmeal sandwich, with peanut butter and jelly filling","2024-10-31"
"2707951","Cookie, oatmeal, with chocolate and peanut butter, no bake","2024-10-31"
"2707952","Cookie, peanut butter","2024-10-31"
"2707953","Cookie, peanut butter, with chocolate","2024-10-31"
"2707954","Cookie, peanut butter with rice cereal, no bake","2024-10-31"
"2707955","Cookie, peanut butter sandwich","2024-10-31"
"2707956","Cookie, with peanut butter filling, chocolate-coated","2024-10-31"
"2707957","Cookie, Pfeffernusse","2024-10-31"
"2707958","Cookie, Pizzelle","2024-10-31"
"2707959","Cookie, pumpkin","2024-10-31"
"2707960","Cookie, raisin","2024-10-31"
"2707961","Cookie, raisin sandwich, cream-filled","2024-10-31"
"2707962","Cookie, rum ball, no bake","2024-10-31"
"2707963","Cookie, sandwich-type, not chocolate or vanilla","2024-10-31"
"2707964","Cookie, shortbread","2024-10-31"
"2707965","Cookie, shortbread, reduced fat","2024-10-31"
"2707966","Cookie, shortbread, with icing or filling","2024-10-31"
"2707967","Pocky","2024-10-31"
"2707968","Cookie, animal","2024-10-31"
"2707969","Cookie, animal, with frosting or icing","2024-10-31"
"2707970","Cookie, butter or sugar","2024-10-31"
"2707971","Marie biscuit","2024-10-31"
"2707972","Cookie, butter or sugar, with fruit and/or nuts","2024-10-31"
"2707973","Cookie, sugar wafer","2024-10-31"
"2707974","Cookie, toffee bar","2024-10-31"
"2707975","Cookie, vanilla sandwich","2024-10-31"
"2707976","Cookie, vanilla sandwich, extra filling","2024-10-31"
"2707977","Cookie, vanilla sandwich, reduced fat","2024-10-31"
"2707978","Cookie, butter or sugar, with chocolate icing or filling","2024-10-31"
"2707979","Cookie, butter or sugar, with icing or filling other than chocolate","2024-10-31"
"2707980","Cookie, tea, Japanese","2024-10-31"
"2707981","Cookie, vanilla wafer","2024-10-31"
"2707982","Cookie, vanilla wafer, reduced fat","2024-10-31"
"2707983","Cookie, vanilla with caramel, coconut, and chocolate coating","2024-10-31"
"2707984","Cookie, rugelach","2024-10-31"
"2707985","Cookie, chocolate chip, reduced sugar","2024-10-31"
"2707986","Cookie, oatmeal, reduced sugar","2024-10-31"
"2707987","Cookie, sandwich, reduced sugar","2024-10-31"
"2707988","Cookie, sugar or plain, sugar free","2024-10-31"
"2707989","Cookie, sugar wafer, sugar free","2024-10-31"
"2707990","Cookie, peanut butter, sugar free","2024-10-31"
"2707991","Cookie, gluten free","2024-10-31"
"2707992","Cookies, Puerto Rican style","2024-10-31"
"2707993","Pie, NFS","2024-10-31"
"2707994","Tart, all types","2024-10-31"
"2707995","Pie, apple","2024-10-31"
"2707996","Pie, apple, fast food","2024-10-31"
"2707997","Pie, berry","2024-10-31"
"2707998","Pie, blueberry","2024-10-31"
"2707999","Pie, cherry","2024-10-31"
"2708000","Pie, lemon","2024-10-31"
"2708001","Pie, key lime","2024-10-31"
"2708002","Pie, peach","2024-10-31"
"2708003","Pie, strawberry","2024-10-31"
"2708004","Pie, banana cream","2024-10-31"
"2708005","Pie, chocolate cream","2024-10-31"
"2708006","Pie, coconut cream","2024-10-31"
"2708007","Pie, custard","2024-10-31"
"2708008","Dessert pizza","2024-10-31"
"2708009","Pie, peanut butter cream","2024-10-31"
"2708010","Pie, pineapple cream","2024-10-31"
"2708011","Pie, pumpkin","2024-10-31"
"2708012","Pie, sweet potato","2024-10-31"
"2708013","Pie, vanilla cream","2024-10-31"
"2708014","Pie, lemon meringue","2024-10-31"
"2708015","Pie, pecan","2024-10-31"
"2708016","Pie, oatmeal","2024-10-31"
"2708017","Pie shell","2024-10-31"
"2708018","Pie shell, graham cracker","2024-10-31"
"2708019","Cobbler, apple","2024-10-31"
"2708020","Cobbler, berry","2024-10-31"
"2708021","Cobbler, cherry","2024-10-31"
"2708022","Cobbler, peach","2024-10-31"
"2708023","Crisp, apple","2024-10-31"
"2708024","Fritter, plain","2024-10-31"
"2708025","Fritter, fruit","2024-10-31"
"2708026","Crisp, berry","2024-10-31"
"2708027","Crisp, cherry","2024-10-31"
"2708028","Crisp, peach","2024-10-31"
"2708029","Cream puff, eclair, custard or cream filled, NS as to icing","2024-10-31"
"2708030","Cream puff, eclair, custard or cream filled, not iced","2024-10-31"
"2708031","Cream puff, eclair, custard or cream filled, iced","2024-10-31"
"2708032","Cream puff, eclair, custard or cream filled, iced, reduced fat","2024-10-31"
"2708033","Cream puff, no filling or icing","2024-10-31"
"2708034","Sopaipilla, without syrup or honey","2024-10-31"
"2708035","Sopaipilla with syrup or honey","2024-10-31"
"2708036","Crepe, chocolate filled","2024-10-31"
"2708037","Crepe, fruit filled","2024-10-31"
"2708038","Tamale, sweet","2024-10-31"
"2708039","Strudel, apple","2024-10-31"
"2708040","Strudel, berry","2024-10-31"
"2708041","Strudel, cherry","2024-10-31"
"2708042","Strudel, cheese","2024-10-31"
"2708043","Strudel, peach","2024-10-31"
"2708044","Baklava","2024-10-31"
"2708045","Basbousa","2024-10-31"
"2708046","Turnover, fruit","2024-10-31"
"2708047","Pastry, fruit-filled","2024-10-31"
"2708048","Pastry, made with bean or lotus seed paste filling, baked","2024-10-31"
"2708049","Pastry, made with bean paste and salted egg yolk filling, baked","2024-10-31"
